  100    9703
    1       2      48
    1       3      92
    1       4      28
    1       5      73
    1       6      57
    1       7      14
    1       8      23
    1       9      33
    1      10       1
    1      11      46
    1      12      85
    1      13      83
    1      14      64
    1      15      74
    1      16      61
    1      17      51
    1      18       7
    1      19      81
    1      20      28
    1      21      29
    1      22      32
    1      23      41
    1      24      14
    1      25      93
    1      26      38
    1      27      10
    1      28      73
    1      29      16
    1      30      79
    1      31      50
    1      32      13
    1      33      16
    1      34      48
    1      35      61
    1      36      51
    1      37      39
    1      38      28
    1      39      86
    1      40      81
    1      41      40
    1      42      69
    1      43      43
    1      44      67
    1      45      34
    1      46      56
    1      47      55
    1      48      20
    1      49      85
    1      50      75
    1      51      52
    1      52      49
    1      53      38
    1      54      87
    1      55      32
    1      56      85
    1      57      60
    1      58       2
    1      59      33
    1      60      48
    1      61      87
    1      62      78
    1      63      83
    1      64       8
    1      65      81
    1      66      18
    1      67       7
    1      68      89
    1      69      32
    1      70      61
    1      71      78
    1      72      83
    1      73      18
    1      74      77
    1      75      78
    1      76       8
    1      77      30
    1      78       3
    1      79      44
    1      80      40
    1      81      11
    1      82      43
    1      83      14
    1      84      95
    1      85      82
    1      86      21
    1      87      61
    1      88      75
    1      89      15
    1      90       9
    1      91      67
    1      92      26
    1      93      49
    1      94      16
    1      95      52
    1      96      74
    1      97       8
    1      98      56
    1      99      55
    1     100      94
    2       3      95
    2       4      50
    2       5      22
    2       6      56
    2       7      38
    2       8      58
    2       9       5
    2      10      45
    2      11     100
    2      12      61
    2      13      18
    2      14      29
    2      15      74
    2      16      91
    2      17      94
    2      18       1
    2      19      54
    2      20      72
    2      21      22
    2      22      86
    2      23      85
    2      24      92
    2      25      15
    2      26      61
    2      27       9
    2      28      60
    2      29       6
    2      30      99
    2      31       2
    2      32       5
    2      33      30
    2      34      13
    2      35      86
    2      36      55
    2      37      60
    2      38      69
    2      39       4
    2      40      56
    2      41      26
    2      42      21
    2      43      53
    2      44      96
    2      45      95
    2      46      36
    2      47      69
    2      48      46
    2      49       8
    2      50      50
    2      51      18
    2      52      18
    2      53      71
    2      54      82
    2      55      17
    2      56       7
    2      57      47
    2      58      61
    2      59      80
    2      60      59
    2      61      49
    2      62      10
    2      63       7
    2      64      65
    2      65      93
    2      66      25
    2      67      81
    2      68      62
    2      69      33
    2      70       6
    2      71      56
    2      72      10
    2      73      21
    2      74      50
    2      75      33
    2      76      59
    2      77      63
    2      78      79
    2      79      60
    2      80      16
    2      81      31
    2      82      35
    2      83      30
    2      84      93
    2      85      82
    2      86      13
    2      87      29
    2      88      60
    2      89      76
    2      90      41
    2      91      31
    2      92       9
    2      93      65
    2      94      81
    2      95      79
    2      96      97
    2      97      47
    2      98      52
    2      99       5
    2     100      22
    3       2      71
    3       4      23
    3       5      73
    3       6      75
    3       7      63
    3       8      53
    3       9      91
    3      10      13
    3      11      28
    3      12       9
    3      13       8
    3      14      58
    3      15      44
    3      16      89
    3      17      69
    3      18      97
    3      19      14
    3      20      36
    3      21      11
    3      22      25
    3      23      96
    3      24      66
    3      25      35
    3      26      23
    3      27       4
    3      28      97
    3      29      85
    3      30      17
    3      31       4
    3      32      65
    3      33      12
    3      34      69
    3      35      73
    3      36      74
    3      37      11
    3      38      32
    3      39      32
    3      40      50
    3      41      70
    3      42      36
    3      43      14
    3      44      92
    3      45      73
    3      46      30
    3      47      33
    3      48      74
    3      49      34
    3      50      44
    3      51      95
    3      52      46
    3      53      35
    3      54      16
    3      55      93
    3      56      52
    3      57      31
    3      58      94
    3      59      99
    3      60      23
    3      61      44
    3      62      61
    3      63      78
    3      64      19
    3      65      66
    3      66      95
    3      67      64
    3      68      10
    3      69      26
    3      70      39
    3      71      44
    3      72       6
    3      73      92
    3      74      25
    3      75      38
    3      76      99
    3      77      24
    3      78      40
    3      79      13
    3      80      17
    3      81      56
    3      82      67
    3      83      10
    3      84      35
    3      85      87
    3      86      37
    3      87       4
    3      88      33
    3      89      58
    3      90      78
    3      91      54
    3      92      56
    3      93      97
    3      94      74
    3      95      98
    3      96      30
    3      97       9
    3      98      13
    3      99      36
    3     100      21
    4       2      81
    4       3      54
    4       5      58
    4       6      53
    4       7      52
    4       8      25
    4       9      71
    4      10      94
    4      11      10
    4      12      68
    4      13      97
    4      14      33
    4      15      57
    4      16      30
    4      17      70
    4      18      46
    4      19      88
    4      20      89
    4      21      85
    4      22       8
    4      23      48
    4      24      36
    4      25      70
    4      26      12
    4      27      67
    4      28      22
    4      29      86
    4      30      62
    4      31      22
    4      32      52
    4      33      31
    4      34      24
    4      35      74
    4      36      68
    4      37      73
    4      38      16
    4      39      46
    4      40      91
    4      41      74
    4      42      90
    4      43      55
    4      44      65
    4      45       5
    4      46      19
    4      47      85
    4      48      21
