  134     341
   91      49       6
   69      27      19
  115       5       2
   31      10      23
   86      45       8
  122      56      35
   63      69       7
  113      10      13
   22       4      44
   72     100       8
  120     123      10
   12      41      24
  101      83      10
  110     133      15
  105      53      28
  110      65      38
   44      47      27
    3      54      40
    6      12      39
   55     113      38
  128      99      20
   34     124      13
  116      84      27
   64     107      29
  116      27       7
   46      32      24
   43      58      43
   96      63      10
   58      46      24
  120     134      26
   34      75      21
   24      35       6
   57       7       7
   29      78      32
    5      75      20
  120     126      18
   44      18      34
  106      87      31
  102     108      21
  101      85       8
  126      66      44
   26      90      12
  116      97      31
   60      35      21
   84      36      34
   76     103      37
   93      82       6
  130       2      21
   53      18      38
   87      41      42
   18     134      39
   57     126      42
   19      91      32
   53     112      27
   39      27      19
    7     115      14
   38     105       3
   40      87      28
    7     125      16
  132     130      35
  131     102      19
   72      64       4
   28       2      31
    5       6      32
  115      68      36
   96      30      19
   16      67      12
  102      97      40
   43      71      14
   38      98      37
    5      28      32
   19     109       5
   20      62      12
   25     118      45
   43      93      34
   72     105      19
    5      74      44
   51      31      17
  121      26      18
   35      28      38
   62     111      35
  120      56      11
   47      72      44
   31     115      37
   73     112      18
  127      90       4
   17      28      15
   47      66      16
   22      71      34
   50      68       9
   26     102      12
   32       7      24
  103      64      17
   34      41      14
   95      42       9
   50      85      37
   28      65      34
   93      84      10
  113      68      12
   46      73       1
   97      28      21
  104     128      13
  117      79      25
   23      27      30
   14      88      21
   98      38      45
  113     114      36
   62     122      32
   79      76      18
   18      51       4
  129      76      41
  123      26      29
   17      57      29
  127       6      32
   31      73      45
   18     100      31
  131      42       2
   68      96      16
    9     107      37
   59      47      29
   84      31      32
  109      62      33
  115      62       2
   71     129       7
   93      34      11
   58       2      35
   49     102      19
   94      46      10
   17       1      10
   63      35      37
   93      35      15
   21      30      11
   32      47      35
   26      81      23
   59      57      17
   11      13      31
   62      36      33
  108      89       6
   58     125       4
   92     119      29
   77     121       2
   56      73      15
  103      84       7
   49      25       6
   55      36      11
   67       5      23
   52     115      33
    6      89      42
  130     107      28
  114      57      27
  100      19      21
  123      74      12
   22      98      39
  130     104      43
   31       2      45
  119      42      10
   49      42      24
   87      53      22
   60      38      13
  116      80       6
    1      79       6
   24     105      27
  121      52      42
   91      51      33
   42      98      43
   83      65      22
   74      98      21
  126     132      20
   29      87      25
   58     121      45
   87      84      25
    7      12      12
    8      13      20
   58     118      18
  105      35      10
   35      31       7
   82      46      38
   29     108      45
  115     123      24
   51      13       4
  134      19       9
   11      58      23
  107     121      19
   41      36      35
   75      75      30
   55      71      41
   50      49      32
   24      50      40
   96      42      34
   59      13      33
   77     126      42
   84     106      28
   70      43      25
   55      36      28
  129     121      33
   15      91      37
   13      96      24
   62      81      13
  104      95      32
   66      88      15
   57      82       5
   29     124      34
   21      77      23
    6      87       7
  126      86      39
   83      26       9
  128     104       4
   74      47      32
  118      14       7
   72      26      30
   19      96      28
   92      58      15
  119      53       1
   21     118      32
  106      54      39
  131     118      12
   50      12      38
   47      53      20
   10      22       5
  119      93      25
   30      46      31
   87      56      19
   89      43      17
   73      51      24
   76      64      16
   59      18      32
   70      55      27
  123     134      22
   10      53      31
   52      90       9
   48      13       1
  103      89      18
   95      72       3
   11      39      24
   24     110       3
  126      18      24
   46      57       5
  129      46       8
   48      80      13
   87     124      40
   99      17      29
   53      74       6
   74      32      31
  112      29      35
   37      98      37
   55     108      28
   61     126      42
  106      30      12
    2      55      17
  125      90      22
    7     126       7
   30      75      16
   12      76      10
   40      37      24
    4      93      38
   61     123      27
    3       9      17
   32      25      10
   86      85      19
  125       8      38
   66     101      37
   90      24      10
   31      84      18
   18     134      27
   60      61      15
  132     108      35
    7     126      20
   31     104      20
   65      53      11
   72       4       6
  122     112      43
   11      93      31
   95     104       4
   44      75       8
   54      86      24
   27      50      12
   18      75      39
  121     101      17
  124      59      41
   77     102      13
   54      85      30
   13     134      15
   66       5      28
   90     124       3
   42      76       1
   91      87      28
   31      96      21
   82      61       2
   90       6      27
   57      99      23
   91     129      35
   91      12      16
   45     124       7
  118      61       1
   59     126      18
   95      25      33
    7      35       4
   67      63      35
   23     111      16
  121      64       3
   66      43       8
   77      75      28
   16      70      11
   27     129      43
   18      94      10
  126     100      11
   27      63      34
   39      90      12
   15      64      13
   28      77      33
   20      12       8
   94     121       4
  113      53      42
   58     112      16
   17      21      31
  117      71      29
  129      82      13
   84      49      42
   97      83      27
  123       4       8
  134     130      45
   70       3       6
   72      87      42
   50       2      30
   20      77      10
   90     119      13
  122      18      25
   36      28       5
  118      25       1
   72      37      28
   17      25      43
   20      33      15
   56      84      16
   57     113      27
  133      16      30
   67      69       4
   84       4      11
   61      67      33
   36      79       5
   72      87      14
   46      83      25
