  500   15000
    1       3       4
    1       5      22
    1      11      10
    1      19       7
    1      24       2
    1      34      21
    1      41       4
    1     100      14
    1     103       3
    1     117       5
    1     120      22
    1     129      18
    1     135      25
    1     140      18
    1     162       4
    1     179      23
    1     184      14
    1     188      22
    1     196      15
    1     209       6
    1     216       9
    1     223       2
    1     238       4
    1     258      22
    1     267      14
    1     275       3
    1     290       7
    1     292      19
    1     296      24
    1     309      14
    1     313       2
    1     324      16
    1     327       4
    1     342      12
    1     347      22
    1     356       3
    1     369      24
    1     445      20
    1     466       7
    1     497      19
    2       5       6
    2      14       4
    2      57      20
    2      66       1
    2      67      13
    2      90       9
    2      93       7
    2     134      12
    2     145      19
    2     147       2
    2     163      11
    2     183       2
    2     239      19
    2     240      12
    2     256      14
    2     260      14
    2     289       6
    2     321       1
    2     330       6
    2     339      25
    2     351       9
    2     367      14
    2     373      13
    2     374      22
    2     385      16
    2     404       2
    2     417      25
    2     428      10
    2     472      16
    2     475       9
    3       9      20
    3      14      20
    3      15      12
    3      18      10
    3      34      25
    3      47      21
    3      54      18
    3      84      13
    3      85      24
    3      87      15
    3      95       3
    3     102      13
    3     108      21
    3     132      22
    3     144      13
    3     153      23
    3     175       7
    3     177      14
    3     223      16
    3     273      13
    3     276       7
    3     277      18
    3     295      10
    3     301       2
    3     306      12
    3     310      24
    3     320       7
    3     349      12
    3     380       3
    3     438      21
    3     458       9
    4      10      20
    4      19       7
    4      36      14
    4      55       8
    4      78       1
    4      84       2
    4      92       4
    4     109       5
    4     119      11
    4     128      12
    4     131       1
    4     150       8
    4     151       6
    4     190       4
    4     201       6
    4     223      15
    4     224      24
    4     226      10
    4     230      22
    4     269      10
    4     293       9
    4     295       6
    4     331       4
    4     339      14
    4     341       4
    4     348      22
    4     349       5
    4     355       9
    4     379       1
    4     384       2
    4     416       4
    4     471      11
    4     474      17
    5      18      10
    5      20      13
    5      24       3
    5      32       2
    5      80      10
    5      95      19
    5     108      17
    5     109       8
    5     117       4
    5     124      15
    5     146      19
    5     151      24
    5     154      10
    5     164      22
    5     179      12
    5     207       6
    5     211       8
    5     216      11
    5     241       3
    5     248      24
    5     249      18
    5     290      15
    5     293      20
    5     311       7
    5     313      21
    5     359       7
    5     398      17
    5     401       5
    5     408       9
    5     425      18
    5     440      23
    5     449      13
    5     452       9
    5     468      24
    5     479      22
    5     483       6
    5     492      15
    5     498      25
    6       2      25
    6       5      15
    6       7      10
    6      15      22
    6      24       2
    6      43       8
    6      68      15
    6      76      21
    6      82      10
    6     112      23
    6     133      14
    6     172       1
    6     177       9
    6     221       1
    6     227      19
    6     230       2
    6     280       3
    6     293      16
    6     297      18
    6     303      19
    6     326      17
    6     367       8
    6     371      14
    6     375       9
    6     392       3
    6     399       3
    6     441      16
    6     444      14
    6     461      21
    6     479      12
    6     480       9
    7       3      22
    7       8      15
    7      59      21
    7     100       5
    7     109      10
    7     110      16
    7     186      21
    7     197      16
    7     213      13
    7     214      25
    7     232       6
    7     273      24
    7     289      17
    7     296      19
    7     313       9
    7     327       1
    7     345       9
    7     348       2
    7     353      11
    7     359       8
    7     365      22
    7     426      17
    7     427       7
    7     429      21
    7     442       5
    7     488       8
    8      15       8
    8      16      24
    8      26       5
    8      27       6
    8      29       3
    8      36       5
    8      46      18
    8      56      18
    8      61       4
    8      62      24
    8      77       7
    8      78      23
    8      82      21
    8      85       1
    8      88      17
    8      90      25
    8      93       9
    8      94      15
    8     100      25
    8     127       5
    8     162      12
    8     173       4
    8     192      25
    8     204       9
    8     238       9
    8     241      19
    8     262      22
    8     275      21
    8     285      13
    8     295       4
    8     297       9
    8     352       8
    8     367       9
    8     390      15
    8     394      20
    8     405      20
    8     453      16
    8     455      14
    8     458       1
    8     484       5
    8     497      20
    9      25       4
    9      30      20
    9     109      12
    9     155       7
    9     162      18
    9     177      21
    9     196      22
    9     210      15
    9     224       9
    9     238       8
    9     249      20
    9     287      17
    9     297      10
    9     309       1
    9     314      19
    9     324      22
    9     385      17
    9     402      20
    9     404       2
    9     415      19
    9     416      17
    9     433       2
    9     460       2
    9     465       5
    9     487       2
    9     497      18
   10       7       2
   10       9      24
   10      30      20
   10      46      21
   10      68      23
   10      88       9
   10      90      24
   10      96       6
   10     111      24
   10     130      16
   10     137      16
   10     210      21
   10     211      21
   10     235      19
   10     254       9
   10     257      15
   10     275       8
   10     301       9
   10     315      23
   10     332       6
   10     352       4
   10     388      18
   10     393      24
   10     427       2
   10     436      16
   10     438      25
   10     460      18
   11      26      12
   11      29      18
   11      31       3
   11      46      24
   11      81       8
   11     147       8
   11     189       2
   11     202      11
   11     244      21
   11     277      25
   11     302      12
   11     303      13
   11     311       3
   11     314      17
   11     316      20
   11     321      15
   11     327      13
   11     334       1
   11     351      13
   11     352       5
   11     360      16
   11     399      24
   11     404      23
   11     435       1
   11     452       5
   11     460       8
   11     461      14
   11     471       1
   11     485       6
   12       5       3
   12       7      25
   12      11       9
   12      13      14
   12      23       3
   12      35      18
   12      37      14
   12      39       7
   12      73      17
   12      80       7
   12      82       1
   12      95       9
   12      96      21
   12      99      24
   12     120       9
   12     132       4
   12     138      12
   12     148      19
   12     154       5
   12     156      23
   12     158      18
   12     169      10
   12     195       8
   12     233      24
   12     237       7
   12     254      14
   12     261      24
   12     270       3
   12     289      21
   12     313       1
   12     315       8
   12     318       2
   12     319      21
   12     338       6
   12     340      17
   12     341      19
   12     350      21
   12     352       5
   12     354      17
   12     356      25
   12     381       5
   12     395       9
   12     412      14
   12     425       3
   12     471       8
   13      53      12
   13     119      22
   13     133       2
   13     150       2
   13     153      22
   13     164      23
   13     211      24
   13     241       2
   13     246       7
   13     262       4
   13     270       4
   13     276      13
   13     309       6
   13     324       3
   13     331       6
   13     337      18
   13     369      21
   13     371      23
   13     383      17
   13     403      17
   13     408       2
   13     424       9
   13     427      12
   13     436       8
   13     468       2
   13     474      17
   13     480      19
   13     485       2
   13     486      12
   14       2      16
   14      17      12
   14      18      13
   14      42      17
   14      51       3
   14      52      25
   14      69       1
   14      81       1
   14     112      13
   14     125       2
   14     132      15
   14     169      12
   14     205      19
   14     242       1
   14     259      16
   14     263       2
   14     267      18
   14     268       2
   14     312      16
   14     355      16
   14     400      17
   14     415      20
   14     439       8
   14     442      22
   14     448       4
   14     477      21
   14     491       2
   15       5      23
   15      37       2
   15      40      15
   15      52      23
   15      71      23
   15      78      21
   15      83       1
   15      84       6
   15      97       8
   15     114      16
   15     173      12
   15     182       8
   15     231      17
   15     234      25
   15     238       9
   15     243      11
   15     249      18
   15     250       6
   15     273      22
   15     300      24
   15     325      23
   15     357      21
   15     363      18
   15     392      20
   15     409      17
   15     448       3
   15     457       5
   15     460      25
   15     472      22
   16      41      14
   16      43      11
   16      52       8
   16      83       9
   16      88      25
   16     102       1
   16     111      22
   16     118      19
   16     133      23
   16     152      25
   16     172      15
   16     208      24
   16     233      12
   16     242      24
   16     253       4
   16     254      20
   16     265      19
   16     286      23
   16     298      25
   16     302      17
   16     308      13
   16     315      25
   16     322       2
   16     343       3
   16     368      18
   16     377       9
   16     384       6
   16     419      25
   16     422      12
   16     429       6
   16     439       9
   16     440       7
   16     447      12
   16     460       8
   16     470      11
   16     471      25
   16     478      22
   16     492       2
   17       9      11
   17      21       9
   17      37       8
   17      69       4
   17      71      24
   17      79      19
   17      83       4
   17      89      12
   17      92       2
   17      98      19
   17      99       3
   17     130      15
   17     167      20
   17     191       3
   17     193      12
   17     222       9
   17     224      16
   17     232      24
   17     237       7
   17     248       3
   17     260       3
   17     268      19
   17     284       3
   17     294      15
   17     297      11
   17     298      12
   17     323       6
   17     328       2
   17     354      19
   17     365       3
   17     368       6
   17     375       2
   17     377       2
   17     391      25
   17     399      21
   17     440       6
   17     472      10
   17     477      10
   17     478       9
   17     488       9
   17     489      11
   18       4      21
   18      49      20
   18      66      12
   18      72      18
   18      74       9
   18      77      16
   18      95      12
   18     104      19
   18     112      12
   18     137      20
   18     142      25
   18     158      23
   18     188       5
   18     201      21
   18     213      16
   18     285      10
   18     298       9
   18     326       5
   18     347      12
   18     356       8
   18     361      16
   18     370      13
   18     377       4
   18     379       7
   18     389       8
   18     391      23
   18     408      17
   18     423      24
   18     441       7
   18     442      18
   18     475      19
   18     489      10
   19      20      22
   19      21      18
   19      27       6
   19      28      14
   19      30      24
   19      58      24
   19      77      21
   19      78       9
   19      80       8
   19      83       6
   19     140      10
   19     141      14
   19     148       5
   19     150      11
   19     166      15
   19     167      15
   19     172      10
   19     200       4
   19     201       1
   19     233      11
   19     282       3
   19     283      23
   19     287       2
   19     324       3
   19     325       2
   19     353      25
   19     361       8
   19     368       1
   19     372       1
   19     374      14
   19     375      14
   19     376       6
   19     402       1
   19     474       1
   19     484       3
   19     497      10
   20      18      14
   20      37      19
   20      46      21
   20      81      10
   20      89      24
   20      91       1
   20     113       8
   20     125      21
   20     162       6
   20     180       2
   20     193       9
   20     202       1
   20     203      10
   20     226      11
   20     241      17
   20     245      17
   20     250      13
   20     260       3
   20     269       1
   20     307      24
   20     314       7
   20     318      16
   20     323      21
   20     340      19
   20     360       2
   20     365       7
   20     425      24
   20     458       2
   21       6       7
   21      16      10
   21      19       1
   21      49      17
   21      68       6
   21      75      23
   21      85      19
   21      96      21
   21     108      23
   21     114      21
   21     124      18
   21     139      18
   21     140      13
   21     159      23
   21     161       9
   21     172      20
   21     181      16
   21     187       8
   21     198      22
   21     216      25
   21     232      19
   21     235       8
   21     257       8
   21     262      13
   21     285      12
   21     295       5
   21     311      23
   21     332      11
   21     339       2
   21     344       7
   21     352      20
   21     355       7
   21     358      25
   21     362       6
   21     403      24
   21     414      16
   21     424      14
   21     429       4
   21     437      25
   21     443      22
   21     454      22
   21     458      16
   21     470      12
   22      10      15
   22      75       1
   22      87       8
   22      98       7
   22     100      22
   22     125       8
   22     145      13
   22     152      24
   22     171      20
   22     182      21
   22     200      11
   22     221      12
   22     248      23
   22     260       2
   22     269      18
   22     288      10
   22     303      24
   22     319       6
   22     333      16
   22     338       4
   22     342      15
   22     356      15
   22     358      11
   22     374       7
   22     390      15
   22     391      17
   22     413       5
   22     414       2
   22     416      16
   22     422      21
   22     432       3
   22     448      19
   22     462       7
   22     475       2
   22     476       8
   22     478      10
   23      22      23
   23      38       3
   23      50      24
   23      51       9
   23      75      14
   23      82      18
   23     118       4
   23     138       7
   23     139      22
   23     150       9
   23     158      16
   23     163      12
   23     183       1
   23     191      18
   23     197      22
   23     222       2
   23     244      10
   23     255      11
   23     273      11
   23     280      20
   23     282       7
   23     284       9
   23     290       6
   23     303      23
   23     325      16
   23     336      12
   23     366      15
   23     396      25
   23     408       8
   23     422      11
   23     450      25
   24      42      13
   24      58      22
   24      74      19
   24      89       3
   24      90      23
   24     121       9
   24     165       7
   24     178      24
   24     194      21
   24     211       9
   24     215      23
   24     227      18
   24     250      19
   24     300       4
   24     311      23
   24     314       4
   24     316      25
   24     326      21
   24     330       9
   24     335       6
   24     364      19
   24     386      24
   24     393       7
   24     407      15
   24     432      12
   24     460      24
   24     470      14
   24     477      13
   24     485      16
   24     498      19
   25       7      21
   25      12      11
   25      27      13
   25      28       3
   25      53      24
   25      75      17
   25      76      21
   25      83       5
   25      97      17
   25     121      18
   25     148      19
   25     159      17
   25     163       5
   25     203       4
   25     205       9
   25     216       6
   25     229       4
   25     244      15
   25     276      25
   25     277      13
   25     309       4
   25     317       6
   25     330      17
   25     346       9
   25     350      15
   25     360      21
   25     371      19
   25     375      22
   25     381      12
   25     388      14
