10000   100000
    1     430      17
    1     765       2
    1    2428      25
    1    3437      17
    1    3601       2
    1    3812      23
    1    5610       5
    1    6425      21
    1    6799       4
    1    7089      13
    1    7887      11
    1    8028      18
    1    8110      19
    1    8631       9
    1    8675      23
    1    8709      23
    1    8997       5
    1    9436      11
    1    9741      19
    2     572      12
    2     935       7
    2    1366      25
    2    2341      12
    2    4379      15
    2    4955       3
    2    5348      21
    2    6093      20
    2    6385      18
    2    9190      11
    2    9552      15
    2    9761       2
    3    1128       4
    3    2282       5
    3    2561      16
    3    5090       7
    3    6666       4
    3    7726      11
    3    9500       2
    3    9908      11
    3    9935      14
    4      46      19
    4     183       6
    4     788      25
    4     833      24
    4    1280      14
    4    1319      15
    4    1336       5
    4    2522      10
    4    4488      20
    4    7797       3
    4    8984      11
    5     787      11
    5    1658       8
    5    3748      18
    5    4564       6
    5    6333      13
    5    6414      23
    5    7296       1
    5    7299      14
    5    8053       7
    5    9059      11
    6     232      19
    6    2003       6
    6    3445      25
    6    4443       3
    6    5453      21
    6    7507       2
    6    7640      19
    6    8019      20
    6    8449       4
    6    8607      20
    6    8716      19
    7     888       8
    7    1337      18
    7    3274      12
    7    3459       7
    7    4134      22
    7    5252      10
    7    7199       6
    7    7307      19
    7    7461      12
    7    9349      12
    7    9804      16
    8    1669      22
    8    2834      15
    8    3761       5
    8    4357       8
    8    4682      18
    8    5135       7
    8    5141      17
    8    5360      25
    8    6014       8
    8    7080      10
    8    7483       5
    8    8219      11
    8    8224      18
    8    8775      12
    8    9659       2
    9     893       2
    9    1323      19
    9    2602      11
    9    3137       6
    9    4044      18
    9    4241       7
    9    6629       9
    9    8069       3
   10     682      18
   10    1549      12
   10    2352      20
   10    2512      15
   10    4044      11
   10    5341      16
   10    7675      24
   10    7826       9
   10    8911       9
   10    9974      11
   11    1248       8
   11    1486      16
   11    2408      10
   11    2595       8
   11    2833      18
   11    4555      19
   11    4996       8
   11    6227      14
   12     297      19
   12    2546      24
   12    2756      22
   12    3586      16
   12    4179      14
   12    4410       7
   12    6017      21
   12    6060      20
   12    8163      21
   12    8321      17
   12    9924       4
   13    1458      16
   13    3352       6
   13    5390       9
   13    6010       3
   13    6096      17
   13    7219      16
   13    7649      17
   13    7654       7
   13    8257      16
   13    8599      10
   13    8747       7
   14      52      24
   14    1276      19
   14    1461      16
   14    1922      24
   14    2710      13
   14    5370      21
   14    5690      18
   14    6604      16
   14    6614      24
   14    8012      24
   14    9291      12
   14    9672      14
   15      46       9
   15     920      10
   15    2795      21
   15    4199      21
   15    4273      14
   15    4688      13
   15    6322       5
   15    7396       4
   16      34       1
   16      83      16
   16     892      17
   16    1488       6
   16    1970      22
   16    2096      20
   16    2244      24
   16    3630      20
   16    4494      15
   16    4710       8
   16    4793      21
   16    5690      17
   16    6315      17
   16    7126      25
   16    7242      15
   16    7562      13
   17     173       5
   17    2838      19
   17    4802      11
   17    5846      23
   17    7465      16
   17    7767      25
   17    9273       2
   17    9386      16
   17    9412      15
   18    1284      22
   18    3422      11
   18    4085      12
   18    5459       8
   18    5610       9
   18    6793      20
   18    7497       4
   18    7962      10
   18    8128      18
   18    8447       1
   19    1417       1
   19    2121      22
   19    2299      23
   19    3567      24
   19    3942      13
   19    4645       2
   19    4695      19
   19    4728      18
   19    5991      14
   19    6261      11
   19    6440      23
   19    9733       4
   20    1023      23
   20    1837      11
   20    2053       2
   20    3348      13
   20    4866      12
   20    7132       8
   20    7169      17
   20    7666       2
   20    8315      22
   20    9939       1
   21     451       9
   21     547      14
   21    1600      20
   21    1705      13
   21    1923       7
   21    2545      20
   21    2616      15
   21    2976      21
   21    3541      11
   21    3787      18
   21    4039      15
   21    4447      19
   21    5916       1
   21    6958      10
   21    7621      22
   21    8165      15
   21    8779      23
   21    9326       1
   21    9971      11
   22     419      21
   22     627      22
   22    1350       1
   22    4846      16
   22    6636      20
   22    6729      11
   22    9295       2
   23    2024       7
   23    4128      20
   23    4321       8
   23    5737       1
   23    5868       4
   23    7148      25
   23    8142      16
   23    8312      18
   23    8344      12
   23    8789       5
   24     956       1
   24    2794       2
   24    3410      25
   24    3547      22
   24    3817      11
   24    3905       5
   24    5331       6
   24    5564      23
   24    6079       1
   24    6820      14
   24    7006      23
   24    7633      19
   24    7974      17
   24    8362      10
   24    8683      21
   25      19       1
   25    2531       3
   25    2788       6
   25    3701      15
   25    4362      25
   25    4538       5
   25    4871       3
   25    7065      24
   25    7967      13
   25    8204      16
   25    9637       1
   25    9763       5
   26     869      16
   26    1719       1
   26    2908      25
   26    4977      25
   26    5186       1
   26    5818      21
   26    6489      22
   26    8113      10
   26    9985       2
   27    2106       4
   27    2379      22
   27    3284      15
   27    3463      12
   27    4760      18
   27    5461       8
   27    6119      18
   27    7313      10
   27    8069      25
   27    8146      19
   27    8643      16
   27    8882       9
   27    9417       2
   27    9722       4
   28    1517       5
   28    2125      23
   28    4043       6
   28    5023       1
   28    8608       5
   28    9093       9
   28    9718      25
   29     223       2
   29     500      15
   29    1802       2
   29    5579      10
   29    6254      19
   29    6314      10
   29    6364       6
   29    7628       7
   29    7738      15
   29    8471      23
   29    8494      16
   29    9922       1
   29    9991      23
   30    1282       4
   30    2551      19
   30    4706      13
   30    5021       1
   30    5529      17
   30    8095      21
   30    8426      14
   31     544       6
   31     840       9
   31    1429      21
   31    2420       2
   31    2518       9
   31    5096      18
   31    5738       5
   31    6859       8
   31    7057       4
   31    9031      19
   31    9282      16
   31    9656      17
   32     446       6
   32     917      11
   32    1255       4
   32    2356      21
   32    2503      16
   32    3470       4
   32    3757      13
   32    4962       1
   32    5220      17
   32    5371       7
   32    5860       6
   32    5974       5
   32    8989       6
   32    9574      11
   33      55      24
   33     416       6
   33     520       9
   33     760       6
   33    1355      10
   33    2087      18
   33    2409      17
   33    2795      24
   33    6024       5
   33    7869      15
   33    9512      10
   34     719       6
   34    1641      12
   34    1906      18
   34    3265      14
   34    3311      17
   34    4236      25
   34    4429      10
   34    5519       3
   34    5997      16
   34    6441       5
   34    6692      22
   34    7015       5
   34    7162      25
   34    8813       4
   34    9710      15
   35    1050       2
   35    1170       7
   35    2650       4
   35    8238       1
   36    2982       6
   36    3852       1
   36    5979       3
   36    6651       7
   36    7783      17
   36    8849      15
   36    9437       5
   36    9643      20
   37     605      13
   37    3971      18
   37    5608       4
   37    6462      20
   37    8601      21
   37    9135      22
   37    9502       2
   37    9710       5
   38    2586      14
   38    2738      11
   38    3983      21
   38    4706       8
   38    4985      22
   38    6046      25
   38    7175       5
   38    9857      20
   39      45       7
   39    1309      10
   39    1310       9
   39    2247       3
   39    3053      12
   39    3331       8
   39    3423       9
   39    3939      18
   39    6449      11
   39    6643      18
   39    6992       5
   39    7555       5
   39    7682      10
   39    8088      14
   39    8243       7
   39    8338       8
   39    8517       3
   39    8641      14
   39    9233      19
   39    9541      19
   40    4775       2
   40    4801       3
   40    4908      12
   40    5118      11
   40    5862      17
   40    9593      16
   40    9921      11
   41     325       4
   41     683      15
   41    1016       4
   41    2400       5
   41    2730      11
