   10      90
    1       2       8
    2       1      13
    1       3      15
    3       1      17
    1       4      24
    4       1       9
    1       5       3
    5       1       4
    1       6      13
    6       1      23
    1       7       8
    7       1      16
    1       8       7
    8       1      13
    1       9      13
    9       1       4
    1      10       8
   10       1      25
    2       3      22
    3       2      23
    2       4       8
    4       2      24
    2       5       2
    5       2       6
    2       6       9
    6       2       2
    2       7       7
    7       2      13
    2       8       7
    8       2       1
    2       9      12
    9       2      16
    2      10      15
   10       2       3
    3       4       7
    4       3      13
    3       5      11
    5       3      11
    3       6      19
    6       3      25
    3       7       9
    7       3       3
    3       8      16
    8       3      17
    3       9      15
    9       3       5
    3      10      20
   10       3      24
    4       5       6
    5       4      18
    4       6      23
    6       4      15
    4       7      18
    7       4       2
    4       8      20
    8       4       3
    4       9       3
    9       4       1
    4      10      17
   10       4       9
    5       6       3
    6       5       3
    5       7       1
    7       5      18
    5       8       6
    8       5       7
    5       9       7
    9       5      18
    5      10      19
   10       5       2
    6       7      18
    7       6       4
    6       8       4
    8       6      10
    6       9      22
    9       6      21
    6      10      16
   10       6      18
    7       8      19
    8       7      23
    7       9      13
    9       7      17
    7      10      12
   10       7       5
    8       9      18
    9       8       6
    8      10       8
   10       8      22
    9      10       8
   10       9      24
