  100    9703
    1       2      20
    1       3       9
    1       4      15
    1       5       6
    1       6       1
    1       7       4
    1       8      12
    1       9      24
    1      10      25
    1      11      13
    1      12       9
    1      13       8
    1      14      11
    1      15      23
    1      16       8
    1      17       1
    1      18      20
    1      19      17
    1      20      10
    1      21      23
    1      22       3
    1      23      10
    1      24      23
    1      25      22
    1      26      13
    1      27      21
    1      28      20
    1      29      10
    1      30      10
    1      31       2
    1      32      21
    1      33       1
    1      34       2
    1      35       3
    1      36      13
    1      37      12
    1      38      15
    1      39      23
    1      40       6
    1      41      13
    1      42      13
    1      43      25
    1      44       7
    1      45      15
    1      46       4
    1      47      14
    1      48      17
    1      49      23
    1      50      24
    1      51      13
    1      52       9
    1      53      10
    1      54       5
    1      55      19
    1      56      21
    1      57      11
    1      58      14
    1      59      17
    1      60      23
    1      61       2
    1      62      17
    1      63       7
    1      64      13
    1      65      16
    1      66      13
    1      67       4
    1      68      25
    1      69      14
    1      70      18
    1      71       4
    1      72      21
    1      73      25
    1      74      18
    1      75      21
    1      76       1
    1      77      24
    1      78      22
    1      79      11
    1      80      12
    1      81       9
    1      82      23
    1      83      22
    1      84       1
    1      85       8
    1      86       2
    1      87      15
    1      88      10
    1      89      17
    1      90       4
    1      91      17
    1      92      17
    1      93      25
    1      94      13
    1      95      20
    1      96      18
    1      97       4
    1      98      17
    1      99      24
    1     100      21
    2       3       2
    2       4      12
    2       5      13
    2       6       1
    2       7       6
    2       8      19
    2       9      15
    2      10      23
    2      11      17
    2      12      13
    2      13       5
    2      14      24
    2      15      25
    2      16      10
    2      17      11
    2      18      13
    2      19       8
    2      20       4
    2      21      12
    2      22      20
    2      23      18
    2      24       5
    2      25       5
    2      26      17
    2      27       9
    2      28      15
    2      29      17
    2      30       4
    2      31      25
    2      32      20
    2      33       4
    2      34      11
    2      35      13
    2      36      15
    2      37      15
    2      38      23
    2      39       7
    2      40      14
    2      41      14
    2      42      20
    2      43       8
    2      44      19
    2      45       3
    2      46       2
    2      47      22
    2      48       3
    2      49      10
    2      50      19
    2      51       9
    2      52      10
    2      53      19
    2      54      14
    2      55      23
    2      56       7
    2      57       8
    2      58       4
    2      59      11
    2      60      15
    2      61      19
    2      62       9
    2      63      15
    2      64      23
    2      65      12
    2      66      16
    2      67       3
    2      68      17
    2      69      15
    2      70       4
    2      71      11
    2      72      13
    2      73      22
    2      74      14
    2      75      14
    2      76       8
    2      77       5
    2      78       3
    2      79      25
    2      80      11
    2      81      10
    2      82       4
    2      83       5
    2      84      22
    2      85      17
    2      86       1
    2      87      14
    2      88       5
    2      89      21
    2      90      10
    2      91      18
    2      92      22
    2      93      22
    2      94       6
    2      95      24
    2      96       5
    2      97      20
    2      98       6
    2      99      10
    2     100       2
    3       2      11
    3       4      18
    3       5      11
    3       6       5
    3       7      13
    3       8       5
    3       9       9
    3      10      11
    3      11      10
    3      12      13
    3      13      13
    3      14      19
    3      15      18
    3      16      12
    3      17       2
    3      18      15
    3      19      10
    3      20      20
    3      21      21
    3      22      24
    3      23       3
    3      24      17
    3      25      16
    3      26      15
    3      27       9
    3      28      23
    3      29      20
    3      30      14
    3      31       1
    3      32       1
    3      33       8
    3      34       2
    3      35       8
    3      36      16
    3      37      17
    3      38      15
    3      39      23
    3      40      22
    3      41       6
    3      42       8
    3      43      10
    3      44       5
    3      45      20
    3      46      25
    3      47      13
    3      48      11
    3      49       3
    3      50      15
    3      51      20
    3      52      18
    3      53       4
    3      54      24
    3      55       1
    3      56      11
    3      57       9
    3      58      25
    3      59       9
    3      60      21
    3      61      25
    3      62      22
    3      63      19
    3      64      10
    3      65      15
    3      66       2
    3      67      18
    3      68       5
    3      69      22
    3      70      15
    3      71      25
    3      72      25
    3      73       9
    3      74      20
    3      75       3
    3      76       8
    3      77       5
    3      78      22
    3      79      22
    3      80      14
    3      81      19
    3      82       1
    3      83       1
    3      84       5
    3      85      16
    3      86      22
    3      87      12
    3      88       9
    3      89      20
    3      90      17
    3      91      15
    3      92      12
    3      93      15
    3      94       9
    3      95      24
    3      96      21
    3      97       2
    3      98       2
    3      99      18
    3     100      13
    4       2      11
    4       3       5
    4       5      18
    4       6       4
    4       7      22
    4       8      16
    4       9       2
    4      10      11
    4      11       4
    4      12       3
    4      13      17
    4      14      15
    4      15      24
    4      16      24
    4      17       7
    4      18       4
    4      19      18
    4      20       9
    4      21       6
    4      22      21
    4      23      11
    4      24      23
    4      25      17
    4      26      12
    4      27      12
    4      28      21
    4      29       9
    4      30       3
    4      31       6
    4      32      22
    4      33       2
    4      34       4
    4      35      23
    4      36      15
    4      37       9
    4      38       5
    4      39       1
    4      40      20
    4      41      23
    4      42       8
    4      43      20
    4      44      16
    4      45      10
    4      46      12
    4      47      15
    4      48       5
    4      49      23
    4      50       2
    4      51       8
    4      52       5
    4      53      11
    4      54      12
    4      55      16
    4      56      22
    4      57      19
    4      58      24
    4      59      10
    4      60      14
    4      61      22
    4      62      17
    4      63      18
    4      64      19
    4      65       7
    4      66       8
    4      67      20
    4      68      24
    4      69       3
    4      70      16
    4      71      20
    4      72       6
    4      73      21
    4      74      17
    4      75       6
    4      76       6
    4      77      17
    4      78      24
    4      79      10
    4      80       8
    4      81       9
    4      82      20
    4      83      13
    4      84       1
    4      85       2
    4      86       6
    4      87      18
    4      88      10
    4      89      18
    4      90       1
    4      91      22
    4      92      14
    4      93      10
    4      94      23
    4      95      10
    4      96       2
    4      97       1
    4      98      13
    4      99       5
    4     100      15
    5       2      11
    5       3      25
    5       4       1
    5       6      16
    5       7       8
    5       8      21
    5       9      25
    5      10       7
    5      11      10
    5      12      16
    5      13      21
    5      14      14
    5      15      22
    5      16       3
    5      17      17
    5      18      23
    5      19      13
    5      20      24
    5      21      22
    5      22      14
    5      23      11
    5      24       4
    5      25       4
    5      26       6
    5      27      19
    5      28       1
    5      29      22
    5      30      14
    5      31       5
    5      32       8
    5      33       3
    5      34       3
    5      35      16
    5      36       6
    5      37      20
    5      38      23
    5      39      13
    5      40      20
    5      41       6
    5      42       6
    5      43      16
    5      44      14
    5      45      21
    5      46      18
    5      47      10
    5      48      16
    5      49       6
    5      50      21
    5      51       9
    5      52       1
    5      53      18
    5      54      21
    5      55      23
    5      56      12
    5      57      21
    5      58       4
    5      59       4
    5      60       4
    5      61       5
    5      62       2
    5      63       4
    5      64      16
    5      65      23
    5      66      14
    5      67      17
    5      68      14
    5      69       3
    5      70      24
    5      71      12
    5      72      18
    5      73       2
    5      74       9
    5      75      16
    5      76      10
    5      77      13
    5      78       6
    5      79      24
    5      80      13
    5      81       7
    5      82       3
    5      83      11
    5      84      24
    5      85       6
    5      86      15
    5      87       4
    5      88      23
    5      89      19
    5      90       3
    5      91      21
    5      92      21
    5      93      10
    5      94      25
    5      95       2
    5      96      11
    5      97      16
    5      98       4
    5      99       8
    5     100      23
    6       2      12
    6       3       5
    6       4      19
    6       5      18
    6       7      18
    6       8       4
    6       9      19
    6      10      20
    6      11       5
    6      12      10
    6      13      18
    6      14      25
    6      15       5
    6      16      19
    6      17      25
    6      18      13
    6      19       4
    6      20       4
    6      21       1
    6      22       2
    6      23      17
    6      24      13
    6      25      18
    6      26       6
    6      27       3
    6      28       1
    6      29      17
    6      30       9
    6      31      17
    6      32      24
    6      33      18
    6      34      18
    6      35       3
    6      36      23
    6      37      24
    6      38      10
    6      39       8
    6      40      12
    6      41      13
    6      42      12
    6      43       5
    6      44      17
    6      45      22
    6      46      14
    6      47      25
    6      48       9
    6      49      10
    6      50      18
    6      51       1
    6      52      10
    6      53       6
    6      54      21
    6      55       7
    6      56       5
    6      57       4
    6      58      25
    6      59      14
    6      60      19
    6      61       6
    6      62      16
    6      63      25
    6      64       2
    6      65       1
    6      66       2
    6      67      14
    6      68       1
    6      69      10
    6      70      10
    6      71      21
    6      72       4
    6      73      11
    6      74       2
    6      75      18
    6      76       9
    6      77      12
    6      78      18
    6      79      17
    6      80       1
    6      81       4
    6      82      18
    6      83      24
    6      84      20
    6      85      12
    6      86      17
    6      87       9
    6      88       1
    6      89       9
    6      90      19
    6      91      20
    6      92      12
    6      93       2
    6      94      16
    6      95       3
    6      96       8
    6      97       3
    6      98       2
    6      99      10
    6     100      10
    7       2      25
    7       3      17
    7       4       1
    7       5      10
    7       6       5
    7       8      11
    7       9      15
    7      10       9
    7      11       5
    7      12      12
    7      13      22
    7      14      18
    7      15      17
    7      16       6
    7      17      12
    7      18       9
    7      19      10
    7      20      22
    7      21       4
    7      22       9
    7      23       1
    7      24      22
    7      25       8
    7      26       9
    7      27      21
    7      28      14
    7      29      23
    7      30      14
    7      31      15
    7      32      14
    7      33      17
    7      34      10
    7      35       7
    7      36      19
    7      37      24
    7      38       7
    7      39      20
    7      40      19
    7      41      14
    7      42      23
    7      43       1
    7      44      22
    7      45      24
    7      46      25
    7      47      17
    7      48      17
    7      49       6
    7      50      24
    7      51      17
    7      52      13
    7      53      24
    7      54      14
    7      55      22
    7      56      16
    7      57      14
    7      58       5
    7      59      18
    7      60      13
    7      61      19
    7      62      17
    7      63      19
    7      64      18
    7      65       5
    7      66       4
    7      67       6
    7      68      19
    7      69      25
    7      70      10
    7      71      21
    7      72      22
    7      73       6
    7      74       2
    7      75      15
    7      76      14
    7      77       6
    7      78      13
    7      79      14
    7      80      14
    7      81       6
    7      82      17
    7      83      17
    7      84      16
    7      85      21
    7      86      21
    7      87       2
    7      88       8
    7      89       8
    7      90      15
    7      91      20
    7      92      10
    7      93       2
    7      94      24
    7      95       1
    7      96      13
    7      97       3
    7      98       8
    7      99       9
    7     100      16
    8       2       4
    8       3      19
    8       4       6
    8       5      10
    8       6      20
    8       7       9
    8       9      17
    8      10      16
    8      11      23
    8      12       9
    8      13      22
    8      14       8
    8      15      20
    8      16      21
    8      17      18
    8      18      22
    8      19      15
    8      20      22
    8      21       2
    8      22       7
    8      23      15
    8      24       8
    8      25      14
    8      26      12
    8      27      16
    8      28      25
    8      29       3
    8      30      22
    8      31      23
    8      32      14
    8      33       1
    8      34      15
    8      35       2
    8      36      18
    8      37      16
    8      38      23
    8      39       1
    8      40      17
    8      41      11
    8      42       6
    8      43      10
    8      44       4
    8      45       8
    8      46      14
    8      47      22
    8      48      24
    8      49      14
    8      50      23
    8      51       9
    8      52       2
    8      53      25
    8      54       8
    8      55      13
    8      56       7
    8      57      13
    8      58       4
    8      59       7
    8      60      11
    8      61       4
    8      62      10
    8      63       8
    8      64      18
    8      65       2
    8      66      25
    8      67      19
    8      68       8
    8      69       4
    8      70      13
    8      71      14
    8      72      24
    8      73      17
    8      74      25
    8      75       2
    8      76       2
    8      77       8
    8      78       3
    8      79       6
    8      80      23
    8      81      25
    8      82       7
    8      83       2
    8      84       3
    8      85      23
    8      86      22
    8      87       6
    8      88      12
    8      89      15
    8      90      20
    8      91      25
    8      92      10
    8      93      13
    8      94      19
    8      95      19
    8      96       7
    8      97      12
    8      98      10
    8      99      12
    8     100      17
    9       2      23
    9       3       6
    9       4       3
    9       5       4
    9       6      13
    9       7       2
    9       8       3
    9      10      17
    9      11      21
    9      12      14
    9      13      19
    9      14      12
    9      15      23
    9      16      24
    9      17      19
    9      18      10
    9      19       7
    9      20      13
    9      21       6
    9      22      18
    9      23       4
    9      24      14
    9      25      17
    9      26       6
    9      27      13
    9      28       3
    9      29       4
    9      30      17
    9      31       4
    9      32      13
    9      33      20
    9      34      14
    9      35      18
    9      36      25
    9      37      24
    9      38       9
    9      39      24
    9      40      20
    9      41      11
    9      42      23
    9      43      11
    9      44       4
    9      45      22
    9      46       3
    9      47       8
    9      48       9
    9      49      23
    9      50      24
    9      51      11
    9      52       3
    9      53       3
    9      54      24
    9      55      24
    9      56      20
    9      57      25
    9      58      13
    9      59      17
    9      60       5
    9      61      10
    9      62      25
    9      63      11
    9      64       9
    9      65      10
    9      66      17
    9      67       7
    9      68      13
    9      69      11
    9      70       2
    9      71      23
    9      72      11
    9      73       4
    9      74      22
    9      75       8
    9      76      12
    9      77      25
    9      78      15
    9      79       4
    9      80       9
    9      81      14
    9      82      19
    9      83      21
    9      84      15
    9      85       4
    9      86       4
    9      87       2
    9      88      25
    9      89      21
    9      90       6
    9      91       5
    9      92      12
    9      93      20
    9      94      24
    9      95       3
    9      96       6
    9      97      17
    9      98      19
    9      99       6
    9     100      22
   10       2      18
   10       3      20
   10       4      24
   10       5      24
   10       6      14
   10       7      23
   10       8       8
   10       9      10
   10      11      20
   10      12       5
   10      13       2
   10      14      15
   10      15      10
   10      16      24
   10      17       6
   10      18       8
   10      19       7
   10      20      24
   10      21      23
   10      22      25
   10      23      22
   10      24      24
   10      25       5
   10      26      14
   10      27       2
   10      28      11
   10      29       3
   10      30      23
   10      31      15
   10      32      22
   10      33      21
   10      34      11
   10      35       4
   10      36      11
   10      37       4
   10      38      20
   10      39       4
   10      40      11
   10      41      12
   10      42      17
   10      43       7
   10      44      19
   10      45      10
   10      46      17
   10      47       9
   10      48       9
   10      49       7
   10      50       5
   10      51      18
   10      52       6
   10      53       4
   10      54       3
   10      55      20
   10      56      18
   10      57      20
   10      58       3
   10      59       5
   10      60      17
   10      61      20
   10      62       8
   10      63      11
   10      64       9
   10      65       2
   10      66       1
   10      67       9
   10      68      22
   10      69      25
   10      70      11
   10      71       3
   10      72       9
   10      73       9
   10      74       9
   10      75      16
   10      76       3
   10      77      24
   10      78      16
   10      79       9
   10      80       6
   10      81      20
   10      82      21
   10      83       1
   10      84      22
   10      85      23
   10      86       9
   10      87      24
   10      88       9
   10      89      14
   10      90      15
   10      91       8
   10      92       8
   10      93      25
   10      94      12
   10      95      18
   10      96       5
   10      97       2
   10      98      25
   10      99      16
   10     100      15
   11       2      23
   11       3      13
   11       4       2
   11       5       4
   11       6       8
   11       7       5
   11       8      10
   11       9      15
   11      10       9
   11      12      17
   11      13      20
   11      14      23
   11      15       6
   11      16       1
   11      17      15
   11      18      24
   11      19      17
   11      20      10
   11      21      12
   11      22      16
   11      23      10
   11      24      11
   11      25       3
   11      26      10
   11      27       6
   11      28      13
   11      29      23
   11      30      20
   11      31      10
   11      32       5
   11      33      25
   11      34       8
   11      35       5
   11      36      18
   11      37      15
   11      38      10
   11      39      21
   11      40      23
   11      41       5
   11      42       9
   11      43      25
   11      44       9
   11      45       5
   11      46      19
   11      47      11
   11      48       9
   11      49      24
   11      50       5
   11      51      17
   11      52       3
   11      53      25
   11      54       1
   11      55      24
   11      56      13
   11      57      21
   11      58      22
   11      59      21
   11      60      16
   11      61      22
   11      62       6
   11      63      25
   11      64       2
   11      65      24
   11      66      18
   11      67       9
   11      68      20
   11      69      19
   11      70      25
   11      71      17
   11      72       9
   11      73       7
   11      74      24
   11      75       3
   11      76      21
   11      77      20
   11      78       6
   11      79       8
   11      80      13
   11      81       1
   11      82      14
   11      83      20
   11      84      20
   11      85      15
   11      86      13
   11      87      21
   11      88      25
   11      89      23
   11      90      25
   11      91      20
   11      92      14
   11      93      12
   11      94       7
   11      95       3
   11      96       7
   11      97      11
   11      98       4
   11      99       1
   11     100      23
   12       2       1
   12       3       4
   12       4      24
   12       5       2
   12       6       7
   12       7      18
   12       8      18
   12       9       8
   12      10      20
   12      11      16
   12      13       4
   12      14       7
   12      15       9
   12      16      20
   12      17      12
   12      18      14
   12      19       3
   12      20      10
   12      21      17
   12      22      10
   12      23       9
   12      24      20
   12      25      13
   12      26      12
   12      27      25
   12      28       3
   12      29      24
   12      30      23
   12      31      24
   12      32      14
   12      33      11
   12      34       5
   12      35       4
   12      36      25
   12      37       6
   12      38      23
   12      39      14
   12      40      19
   12      41      11
   12      42      23
   12      43      16
   12      44      11
   12      45       6
   12      46       5
   12      47      25
   12      48      13
   12      49       5
   12      50      23
   12      51      18
   12      52      22
   12      53      13
   12      54      16
   12      55       5
   12      56      11
   12      57      16
   12      58       8
   12      59       8
   12      60      24
   12      61       3
   12      62       9
   12      63      23
   12      64      24
   12      65       7
   12      66      24
   12      67      11
   12      68      13
   12      69      18
   12      70      19
   12      71      20
   12      72      18
   12      73      12
   12      74      11
   12      75      19
   12      76      15
   12      77       4
   12      78      17
   12      79      22
   12      80      14
   12      81       4
   12      82      21
   12      83      13
   12      84       2
   12      85       6
   12      86      15
   12      87      21
   12      88      15
   12      89      21
   12      90      12
   12      91      16
   12      92      13
   12      93       7
   12      94       3
   12      95      10
   12      96       4
   12      97      22
   12      98      13
   12      99      12
   12     100       2
   13       2       4
   13       3      11
   13       4      25
   13       5       4
   13       6      20
   13       7       3
   13       8      14
   13       9      12
   13      10      12
   13      11       8
   13      12       8
   13      14      24
   13      15      21
   13      16       2
   13      17      14
   13      18       9
   13      19       3
   13      20       3
   13      21       7
   13      22      19
   13      23       6
   13      24      25
   13      25       2
   13      26      18
   13      27      13
   13      28      20
   13      29      12
   13      30       6
   13      31       5
   13      32      23
   13      33      21
   13      34      10
   13      35      19
   13      36      23
   13      37       3
   13      38       6
   13      39      11
   13      40       8
   13      41       4
   13      42      19
   13      43       3
   13      44      11
   13      45       4
   13      46       4
   13      47      16
   13      48       5
   13      49      17
   13      50      12
   13      51      19
   13      52      12
   13      53      16
   13      54      22
   13      55       9
   13      56      14
   13      57       8
   13      58      22
   13      59       8
   13      60      24
   13      61       7
   13      62      15
   13      63       9
   13      64      16
   13      65       4
   13      66      18
   13      67       3
   13      68      18
   13      69      10
   13      70       9
   13      71       4
   13      72       3
   13      73      23
   13      74      10
   13      75       1
   13      76      13
   13      77      21
   13      78      12
   13      79      11
   13      80       1
   13      81       3
   13      82       1
   13      83      10
   13      84       4
   13      85      10
   13      86      11
   13      87      15
   13      88      23
   13      89      16
   13      90      22
   13      91      25
   13      92      22
   13      93      21
   13      94      10
   13      95       7
   13      96      13
   13      97       7
   13      98      12
   13      99      21
   13     100       5
   14       2       3
   14       3       3
   14       4       8
   14       5       1
   14       6      23
   14       7      21
   14       8      23
   14       9       4
   14      10      17
   14      11      16
   14      12      13
   14      13      18
   14      15      15
   14      16      15
   14      17       4
   14      18       4
   14      19       7
   14      20      10
   14      21      22
   14      22       2
   14      23      23
   14      24      14
   14      25      24
   14      26      25
   14      27       5
   14      28      12
   14      29       7
   14      30       5
   14      31       1
   14      32       2
   14      33       2
   14      34       2
   14      35      18
   14      36       4
   14      37       9
   14      38      16
   14      39      23
   14      40      17
   14      41       9
   14      42      21
   14      43      24
   14      44       2
   14      45      13
   14      46      15
   14      47      16
   14      48       9
   14      49       7
   14      50       7
   14      51       1
   14      52       3
   14      53       3
   14      54      14
   14      55      16
   14      56      20
   14      57      23
   14      58       3
   14      59      10
   14      60       8
   14      61       8
   14      62      25
   14      63      13
   14      64       7
   14      65       3
   14      66      20
   14      67      14
   14      68       9
   14      69      25
   14      70       3
   14      71       2
   14      72      17
   14      73       7
   14      74      16
   14      75      10
   14      76      19
   14      77       3
   14      78      16
   14      79      14
   14      80       8
   14      81      12
   14      82       9
   14      83       3
   14      84      17
   14      85       9
   14      86      13
   14      87      24
   14      88      16
   14      89      23
   14      90       3
   14      91      23
   14      92      23
   14      93       5
   14      94      11
   14      95      16
   14      96       6
   14      97       1
   14      98      20
   14      99       4
   14     100      16
   15       2       8
   15       3      12
   15       4       4
   15       5       1
   15       6      10
   15       7      15
   15       8      20
   15       9       1
   15      10      11
   15      11      13
   15      12      21
   15      13      15
   15      14       2
   15      16      23
   15      17       2
   15      18       7
   15      19       3
   15      20       1
   15      21      19
   15      22      22
   15      23      18
   15      24      15
   15      25       3
   15      26      15
   15      27      24
   15      28      17
   15      29      21
   15      30      12
   15      31      17
   15      32      20
   15      33      13
   15      34      10
   15      35      17
   15      36      23
   15      37      13
   15      38      12
   15      39       7
   15      40      18
   15      41       7
   15      42      15
   15      43       2
   15      44       4
   15      45      17
   15      46      22
   15      47       6
   15      48      19
   15      49       4
   15      50      24
   15      51      16
   15      52      22
   15      53      22
   15      54      10
   15      55      13
   15      56      13
   15      57      25
   15      58      23
   15      59      23
   15      60       6
   15      61      22
   15      62      16
   15      63       5
   15      64      16
   15      65      13
   15      66      11
   15      67      19
   15      68      20
   15      69      16
   15      70       2
   15      71      21
   15      72       3
   15      73       3
   15      74       1
   15      75      25
   15      76      19
   15      77      17
   15      78      22
   15      79      24
   15      80      15
   15      81       8
   15      82       6
   15      83      12
   15      84      20
   15      85      12
   15      86       4
   15      87       1
   15      88       1
   15      89       3
   15      90      25
   15      91      14
   15      92       2
   15      93      17
   15      94      25
   15      95      15
   15      96      17
   15      97       6
   15      98      11
   15      99      18
   15     100       6
   16       2       1
   16       3      10
   16       4      12
   16       5      14
   16       6       1
   16       7      21
   16       8       5
   16       9      23
   16      10      13
   16      11      20
   16      12       5
   16      13      22
   16      14       8
   16      15       9
   16      17       9
   16      18       9
   16      19      21
   16      20      10
   16      21       3
   16      22      16
   16      23      25
   16      24      16
   16      25       8
   16      26      17
   16      27      17
   16      28       8
   16      29      11
   16      30       4
   16      31       2
   16      32      18
   16      33       2
   16      34       3
   16      35       2
   16      36      24
   16      37      11
   16      38       5
   16      39       3
   16      40       1
   16      41      19
   16      42      10
   16      43       4
   16      44       6
   16      45      21
   16      46       8
   16      47      10
   16      48      24
   16      49      18
   16      50      15
   16      51      24
   16      52       7
   16      53      12
   16      54       8
   16      55      15
   16      56       7
   16      57       7
   16      58      17
   16      59       5
   16      60      18
   16      61       7
   16      62      10
   16      63      12
   16      64      23
   16      65      23
   16      66      20
   16      67      15
   16      68      20
   16      69       2
   16      70      20
   16      71       6
   16      72       4
   16      73      13
   16      74       1
   16      75       5
   16      76       6
   16      77       6
   16      78      22
   16      79       2
   16      80      17
   16      81      15
   16      82      15
   16      83      19
   16      84      19
   16      85      19
   16      86      25
   16      87       5
   16      88       2
   16      89      13
   16      90      12
   16      91      21
   16      92       9
   16      93      19
   16      94      15
   16      95       5
   16      96      21
   16      97      21
   16      98       8
   16      99       8
   16     100       6
   17       2      21
   17       3       2
   17       4      21
   17       5      16
   17       6      12
   17       7      22
   17       8      10
   17       9       9
   17      10       9
   17      11       2
   17      12      17
   17      13      18
   17      14      14
   17      15      11
   17      16      23
   17      18       4
   17      19      20
   17      20       9
   17      21      11
   17      22      17
   17      23       8
   17      24      11
   17      25       6
   17      26       9
   17      27      22
   17      28      11
   17      29       5
   17      30      18
   17      31      24
   17      32      16
   17      33      23
   17      34      16
   17      35      24
   17      36      13
   17      37      15
   17      38      25
   17      39       3
   17      40      18
   17      41      20
   17      42      12
   17      43       7
   17      44       2
   17      45      11
   17      46       5
   17      47       2
   17      48       7
   17      49      18
   17      50      14
   17      51      25
   17      52      10
   17      53      17
   17      54      19
   17      55       8
   17      56      11
   17      57      19
   17      58      16
   17      59      25
   17      60      19
   17      61       4
   17      62       5
   17      63      13
   17      64       5
   17      65      19
   17      66      14
   17      67      18
   17      68       2
   17      69      25
   17      70      13
   17      71       7
   17      72      25
   17      73      18
   17      74      19
   17      75      10
   17      76      21
   17      77      25
   17      78      23
   17      79      11
   17      80       5
   17      81      14
   17      82       1
   17      83      24
   17      84      23
   17      85      22
   17      86       2
   17      87      11
   17      88      18
   17      89       1
   17      90      20
   17      91      16
   17      92      11
   17      93      12
   17      94      18
   17      95      24
   17      96      10
   17      97      21
   17      98      11
   17      99      18
   17     100       8
   18       2      13
   18       3      23
   18       4       6
   18       5      22
   18       6       9
   18       7      15
   18       8      23
   18       9       5
   18      10      23
   18      11      19
   18      12       1
   18      13      12
   18      14      16
   18      15       9
   18      16       4
   18      17      12
   18      19      22
   18      20       5
   18      21       4
   18      22      22
   18      23      16
   18      24       4
   18      25      22
   18      26      12
   18      27       4
   18      28       3
   18      29       7
   18      30      22
   18      31      23
   18      32      23
   18      33      18
   18      34      21
   18      35       8
   18      36       6
   18      37      13
   18      38      16
   18      39       5
   18      40      19
   18      41      12
   18      42      13
   18      43       1
   18      44      15
   18      45       6
   18      46       5
   18      47       6
   18      48      12
   18      49       2
   18      50      23
   18      51       1
   18      52       8
   18      53      15
   18      54       4
   18      55      12
   18      56      24
   18      57      18
   18      58      15
   18      59      23
   18      60      20
   18      61       2
   18      62      23
   18      63      25
   18      64      18
   18      65       2
   18      66       7
   18      67      10
   18      68       4
   18      69       1
   18      70      14
   18      71       5
   18      72      14
   18      73      10
   18      74      18
   18      75      24
   18      76      17
   18      77      11
   18      78       3
   18      79       6
   18      80      19
   18      81       8
   18      82       3
   18      83       7
   18      84      24
   18      85      24
   18      86      19
   18      87      20
   18      88      25
   18      89       9
   18      90       8
   18      91      11
   18      92       6
   18      93      20
   18      94       7
   18      95      23
   18      96      14
   18      97      11
   18      98      20
   18      99      10
   18     100       9
   19       2      16
   19       3      24
   19       4      18
   19       5      10
   19       6      12
   19       7      21
   19       8       1
   19       9       4
   19      10       3
   19      11      18
   19      12      17
   19      13       1
   19      14      22
   19      15      25
   19      16       5
   19      17       8
   19      18      20
   19      20      14
   19      21       8
   19      22      11
   19      23      21
   19      24      13
   19      25       1
   19      26      15
   19      27      16
   19      28      11
   19      29      20
   19      30       7
   19      31       1
   19      32       4
   19      33      21
   19      34      21
   19      35      20
   19      36       7
   19      37       6
   19      38      24
   19      39       7
   19      40       3
   19      41       3
   19      42       9
   19      43       2
   19      44       6
   19      45       8
   19      46       1
   19      47       5
   19      48      23
   19      49      13
   19      50       5
   19      51       4
   19      52      25
   19      53      24
   19      54      19
   19      55      19
   19      56      11
   19      57      23
   19      58      15
   19      59      20
   19      60       3
   19      61      10
   19      62       3
   19      63      24
   19      64       3
   19      65      15
   19      66      19
   19      67      18
   19      68       4
   19      69       9
   19      70       3
   19      71      10
   19      72       1
   19      73      17
   19      74      18
   19      75       6
   19      76      11
   19      77      20
   19      78       4
   19      79       7
   19      80      22
   19      81      14
   19      82       1
   19      83      16
   19      84      11
   19      85       5
   19      86      16
   19      87       3
   19      88       1
   19      89      13
   19      90      10
   19      91      12
   19      92      14
   19      93       1
   19      94       4
   19      95       4
   19      96      10
   19      97      22
   19      98       3
   19      99       7
   19     100       2
   20       2      22
   20       3      10
   20       4       6
   20       5       8
   20       6       5
   20       7      22
   20       8      21
   20       9      20
   20      10      14
   20      11       9
   20      12       6
   20      13      14
   20      14      13
   20      15       8
   20      16       4
   20      17      13
   20      18       8
   20      19      20
   20      21      16
   20      22      25
   20      23      19
   20      24       1
   20      25       9
   20      26       3
   20      27      14
   20      28       8
   20      29      16
   20      30       1
   20      31      15
   20      32       1
   20      33       9
   20      34      17
   20      35      20
   20      36      22
   20      37      22
   20      38      13
   20      39       1
   20      40       8
   20      41       8
   20      42      17
   20      43      13
   20      44      16
   20      45      25
   20      46      12
   20      47      25
   20      48      18
   20      49       6
   20      50       8
   20      51       6
   20      52      20
   20      53      24
   20      54       9
   20      55      13
   20      56      18
   20      57      16
   20      58      20
   20      59      21
   20      60      11
   20      61       4
   20      62      10
   20      63       6
   20      64       9
   20      65      23
   20      66       3
   20      67       2
   20      68      19
   20      69      23
   20      70       5
   20      71      17
   20      72       7
   20      73      11
   20      74      17
   20      75      17
   20      76       2
   20      77      13
   20      78       7
   20      79      20
   20      80      25
   20      81      21
   20      82       3
   20      83      18
   20      84      10
   20      85       9
   20      86      21
   20      87      21
   20      88       8
   20      89       6
   20      90      13
   20      91      13
   20      92      12
   20      93       1
   20      94       3
   20      95       1
   20      96      19
   20      97      21
   20      98       5
   20      99      25
   20     100       7
   21       2       3
   21       3      24
