  100    1000
    1       2      10
    1       4      15
    1      10       2
    1      11      21
    1      30      11
    1      33      15
    1      37      18
    1      41       4
    1      43       1
    1      44      13
    1      50      12
    1      51       1
    1      54       6
    1      61      16
    1      67      24
    1      76       7
    1      78       1
    1      88      13
    1      91       3
    2      19       9
    2      28       9
    2      30       4
    2      32      20
    2      40       2
    2      47       2
    2      56      24
    2      61      18
    2      65       4
    2      80      14
    2      86       7
    3      27       2
    3      37      13
    3      38      24
    3      42      25
    3      46       2
    3      48      22
    3      49      13
    3      61      21
    3      68       2
    4      10      25
    4      11      10
    4      19       1
    4      25       4
    4      28      21
    4      37       2
    4      43       1
    4      66      13
    4      69       4
    4      79      25
    4      80      15
    4      96      24
    5       3      19
    5      11       1
    5      15      22
    5      16      21
    5      26      14
    5      32       5
    5      70      20
    5      78      18
    5      85      19
    6       2      16
    6      21      13
    6      24      19
    6      48       5
    6      51      24
    6      57      16
    6      67      19
    6      75      19
    6      78      11
    7       5      16
    7       9       4
    7      20      17
    7      28       7
    7      35       4
    7      40      10
    7      41      17
    7      47       5
    7      49       2
    7      60      17
    7      61      14
    7      65      16
    7      91      12
    7      93       4
    7      96      10
    8       3      25
    8       9      19
    8      18       9
    8      30       9
    8      37      19
    8      60       1
    8      61       1
    8      66       5
    8      84      15
    8      93      19
    9      28      21
    9      37      13
    9      43      21
    9      51      12
    9      52       9
    9      80      22
    9      90      12
    9      92      21
   10       9      16
   10      15      17
   10      25      19
   10      34       3
   10      37       3
   10      49      16
   10      57      15
   10     100      17
   11       6       2
   11      12      19
   11      13       8
   11      15      16
   11      37      19
   11      38      22
   11      40      13
   11      41       5
   11      51       3
   11      68       2
   11      86      17
   11      98       3
   12       8      20
   12       9       6
   12      10      10
   12      25      12
   12      35      12
   12      44      18
   12      61       8
   12      82       5
   12      92      19
   13      23       2
   13      29      18
   13      33      15
   13      45       4
   13      50      10
   13      80      13
   13      85      18
   13      87       3
   13      93      13
   13      95      25
   14       7      13
   14      22       8
   14      34      20
   14      41       4
   14      48      12
   14      61      16
   14      64      12
   14      66      21
   14      67       9
   14      77      23
   14      80       3
   14      94      25
   14      99      15
   15      20      24
   15      22      16
   15      23       1
   15      26      16
   15      41      24
   15      42      22
   15      45      24
   15      57      20
   15      70       4
   15      74      10
   16      21       4
   16      61       9
   16      65      21
   16      76      14
   16      82       4
   16      83      22
   17      30       2
   17      39      12
   17      44      12
   17      49       7
   17      51      15
   17      56      11
   17      58      16
   17      72      13
   17      75      17
   17      81       4
   17      97       4
   17     100      10
   18      25      19
   18      27       2
   18      37       1
   18      45      11
   18      52      15
   18      64       2
   18      67      24
   18      70      17
   18      74      13
   18      84      10
   18      86      21
   18      90      22
   18      98       4
   19      16      13
   19      36      16
   19      49      16
   19      51      11
   19      65      11
   19      75      13
   19      83       6
   19      93      14
   19      95      24
   19      97      17
   20      17       8
   20      30      17
   20      31       1
   20      33      14
   20      77      14
   20      82      16
   20      84       4
   21       5       2
   21      19      24
   21      22      19
   21      39      12
   21      45      17
   21      82      13
   21      87      18
   21      97      14
   22      26      12
   22      27      20
   22      35      14
   22      61      11
   22      67      18
   22      96       4
   23       4       5
   23       8      16
   23      24       3
   23      29       2
   23      40      14
   23      76      17
   23      78      10
   23      80      21
   23      81      22
   23      90      10
   23      95      14
   24       4      18
   24      27      18
   24      30       5
   24      31      21
   24      33      17
   24      35       9
   24      42      11
   24      55       4
   24      69      15
   24      77      23
   24      78      22
   24      86      22
   24      95       2
   24      98      22
   24     100       1
   25       8      16
   25      36       2
   25      38      10
   25      44      24
   25      56       2
   25      67      25
   25      70      12
   25      75      23
   25      80      25
   25      89      21
   25      98       8
   26      14      10
   26      15      10
   26      33       4
   26      57       2
   26      58       5
   26      71      11
   26      79      15
   26      93      24
   26      94       3
   27       8      19
   27      11      22
   27      28       1
   27      33      14
   27      34       9
   27      37       2
   27      45      20
   27      59      10
   27      62       9
   27      63       1
   27      73      21
   27      76      11
   27      96      19
   27      99      10
   28      25      20
   28      34       6
   28      47      25
   28      55       7
   28      64       6
   28      72      20
   28      75      11
   29      10      18
   29      13      25
   29      25      17
   29      26      23
   29      64       8
   29      69       4
   29      71       3
   29      75      24
   29      77       6
   29     100      10
   30      13      18
   30      48      23
   30      53      11
   30      71       4
   30      73       7
