  100    9703
    1       2      15
    1       3       7
    1       4       3
    1       5      15
    1       6       5
    1       7       5
    1       8       1
    1       9       2
    1      10       8
    1      11      11
    1      12       7
    1      13       2
    1      14      17
    1      15      10
    1      16      21
    1      17      10
    1      18       9
    1      19      22
    1      20      16
    1      21      19
    1      22       9
    1      23      11
    1      24      12
    1      25      25
    1      26      18
    1      27      24
    1      28      24
    1      29      15
    1      30      21
    1      31      23
    1      32       5
    1      33      13
    1      34       7
    1      35       6
    1      36      12
    1      37      20
    1      38      10
    1      39       5
    1      40      15
    1      41       8
    1      42      14
    1      43      14
    1      44       5
    1      45       5
    1      46      18
    1      47       8
    1      48       9
    1      49      25
    1      50      10
    1      51       9
    1      52       6
    1      53       7
    1      54      18
    1      55       9
    1      56      20
    1      57       3
    1      58       3
    1      59      14
    1      60       2
    1      61       2
    1      62      12
    1      63       6
    1      64       9
    1      65       5
    1      66       5
    1      67      19
    1      68       4
    1      69      20
    1      70      20
    1      71       7
    1      72       1
    1      73       7
    1      74      11
    1      75      23
    1      76       3
    1      77       9
    1      78      11
    1      79      21
    1      80       1
    1      81      12
    1      82      11
    1      83       5
    1      84      15
    1      85       5
    1      86       1
    1      87      19
    1      88       1
    1      89      16
    1      90      18
    1      91       7
    1      92       1
    1      93      25
    1      94      25
    1      95      11
    1      96      15
    1      97      10
    1      98       7
    1      99      18
    1     100       4
    2       3      25
    2       4      10
    2       5      19
    2       6      15
    2       7      10
    2       8      20
    2       9      14
    2      10       9
    2      11      20
    2      12      20
    2      13      17
    2      14      14
    2      15      21
    2      16      20
    2      17      19
    2      18      12
    2      19      16
    2      20      25
    2      21       8
    2      22      23
    2      23      21
    2      24       9
    2      25       2
    2      26      20
    2      27      15
    2      28       9
    2      29      22
    2      30      10
    2      31      10
    2      32      16
    2      33      15
    2      34      23
    2      35       9
    2      36       5
    2      37      22
    2      38      14
    2      39      20
    2      40      20
    2      41       7
    2      42      16
    2      43      13
    2      44      11
    2      45      17
    2      46      20
    2      47       2
    2      48      10
    2      49      24
    2      50      24
    2      51      20
    2      52      18
    2      53       3
    2      54       7
    2      55      15
    2      56      10
    2      57      25
    2      58       8
    2      59      16
    2      60       6
    2      61      15
    2      62      11
    2      63       5
    2      64       6
    2      65       6
    2      66      10
    2      67       1
    2      68      11
    2      69      23
    2      70      10
    2      71      14
    2      72       8
    2      73      16
    2      74      19
    2      75      20
    2      76      12
    2      77      22
    2      78       2
    2      79      10
    2      80       2
    2      81      13
    2      82      22
    2      83       4
    2      84      11
    2      85      25
    2      86      10
    2      87       2
    2      88       7
    2      89      21
    2      90      19
    2      91       5
    2      92       1
    2      93      19
    2      94      14
    2      95      25
