 1000   100000
    1      28      14
    1      31       4
    1      58       3
    1      69       1
    1      70      16
    1      77      14
    1      89       3
    1     102      19
    1     111      17
    1     127       6
    1     138       7
    1     142      14
    1     146       6
    1     168      22
    1     169      21
    1     185      22
    1     193      16
    1     197      14
    1     208       2
    1     217      21
    1     236       2
    1     250      12
    1     253       3
    1     254       7
    1     256      21
    1     258      10
    1     271      20
    1     274       7
    1     285      19
    1     303       6
    1     339      18
    1     340       3
    1     353      14
    1     382      19
    1     392      21
    1     401       2
    1     407      21
    1     408       6
    1     417      23
    1     421      14
    1     424      20
    1     431      13
    1     458      20
    1     468       7
    1     487       8
    1     496      11
    1     502       5
    1     504      15
    1     518      19
    1     521       3
    1     530       6
    1     533       6
    1     553      17
    1     562      13
    1     567      17
    1     580       2
    1     588      23
    1     594       8
    1     605       2
    1     632      11
    1     639      13
    1     641       3
    1     657       7
    1     658      11
    1     668       5
    1     690      13
    1     719      23
    1     724      14
    1     735       8
    1     737       8
    1     744      24
    1     752      10
    1     756      16
    1     765       4
    1     766      18
    1     768       6
    1     778      25
    1     782      17
    1     785       8
    1     803      21
    1     809       8
    1     810      15
    1     811      11
    1     820       6
    1     827      25
    1     854      21
    1     864       7
    1     875       8
    1     880      25
    1     896       2
    1     912       2
    1     913      19
    1     919      21
    1     923      19
    1     927      25
    1     929      24
    1     993      13
    1     995       5
    1    1000      20
    2      12      20
    2      15      17
    2      20      14
    2      28       2
    2      42      16
    2      59      12
    2      78      14
    2      82      15
    2      91      10
    2      95      16
    2     117      11
    2     119      25
    2     144      12
    2     150      24
    2     171       2
    2     174      15
    2     186      10
    2     207      21
    2     215      12
    2     222      24
    2     247       4
    2     249      23
    2     292      16
    2     294      20
    2     298       1
    2     312       1
    2     319       7
    2     335       4
    2     336       8
    2     340      10
    2     345      18
    2     370      22
    2     380      16
    2     389       8
    2     390      18
    2     391      17
    2     393      16
    2     404      13
    2     418      13
    2     456       5
    2     457      11
    2     463      21
    2     470      14
    2     502       4
    2     504       1
    2     543      25
    2     564      12
    2     576      16
    2     584      22
    2     595      23
    2     596       5
    2     597      11
    2     611       6
    2     622      24
    2     623       5
    2     627      25
    2     635      19
    2     638      21
    2     639      23
    2     658      24
    2     660       8
    2     679      21
    2     684      20
    2     689      21
    2     729      14
    2     738      22
    2     746      11
    2     759      22
    2     765      19
    2     769      20
    2     786      11
    2     787      16
    2     791      10
    2     800      16
    2     802       4
    2     803      11
    2     804       5
    2     817      22
    2     828      16
    2     831       4
    2     848      11
    2     854       2
    2     865      25
    2     867       5
    2     885      19
    2     889      13
    2     896      10
    2     897      22
    2     902      22
    2     911       8
    2     916      13
    2     921      14
    2     922       1
    2     932      17
    2     967      24
    2     970      25
    2     980      23
    2     984      17
    2     987       3
    3      10      24
    3      15       3
    3      18       3
    3      21       7
    3      24      11
    3      35       4
    3      41      16
    3      43      14
    3      67       7
    3      70      22
    3      78       6
    3      98      20
    3     113       4
    3     121      24
    3     123      12
    3     125       7
    3     127       8
    3     131      25
    3     132       3
    3     145      23
    3     157       1
    3     169       3
    3     174       5
    3     179      15
    3     181       7
    3     205       8
    3     238       8
    3     244       8
    3     247       6
    3     288      13
    3     290       8
    3     331       5
    3     351       2
    3     353       4
    3     356      22
    3     358      13
    3     360       6
    3     366      24
    3     394       9
    3     399      21
    3     401      12
    3     414      16
    3     418       9
    3     421      11
    3     431      22
    3     432       2
    3     448      16
    3     455      19
    3     469      24
    3     483      23
    3     501      20
    3     507      20
    3     509      22
    3     512      18
    3     519      25
    3     536      12
    3     543      15
    3     561      19
    3     572       1
    3     575      24
    3     591      10
    3     596      10
    3     607      17
    3     612      10
    3     617      13
    3     622      16
    3     624       8
    3     631       6
    3     639       9
    3     650      25
    3     657      15
    3     673      22
    3     681       5
    3     695      14
    3     700      17
    3     706      24
    3     713      21
    3     717       8
    3     743       7
    3     749       6
    3     755       9
    3     761       3
    3     773       2
    3     790       7
    3     815      21
    3     819      12
    3     824      23
    3     831      17
    3     842       8
    3     843       3
    3     863       3
    3     881      17
    3     887      10
    3     893       6
    3     896      10
    3     897      15
    3     909      20
    3     912       7
    3     925       6
    3     943      20
    3     982      25
    3     985       2
    3     989      25
    3     992      17
    3     994       4
    4       6      16
    4      11       9
    4      26      11
    4      50       7
    4      51      25
    4      64      12
    4      88       6
    4     107       3
    4     112       1
    4     113      12
    4     119       8
    4     137      16
    4     155      23
    4     160      25
    4     163      25
    4     164      16
    4     167      10
    4     172      23
    4     173      13
    4     188      23
    4     191      23
    4     201      23
    4     223      20
    4     229       3
    4     246       3
    4     248      16
    4     250      20
    4     254      20
    4     260      16
    4     263      24
    4     278      18
    4     295      12
    4     315       3
    4     324      13
    4     332      24
    4     348       8
    4     350      23
    4     352       1
    4     364       8
    4     367      23
    4     376       7
    4     378      11
    4     387      17
    4     390      22
    4     395       4
    4     411      16
    4     437      11
    4     448      23
    4     450      22
    4     495      10
    4     507      23
    4     511      10
    4     527      19
    4     534       2
    4     541      14
    4     552       1
    4     570      25
    4     579      11
    4     582      19
    4     587      14
    4     598      19
    4     603      18
    4     613      14
    4     618      20
    4     629      15
    4     631       8
    4     651      23
    4     652      12
    4     656      24
    4     664      17
    4     681       7
    4     682      21
    4     685      23
    4     693       4
    4     697      19
    4     707       4
    4     717       2
    4     744       8
    4     747      11
    4     756      14
    4     797      15
    4     799      15
    4     803       7
    4     815       1
    4     819       6
    4     832       9
    4     837       8
    4     848       8
    4     859       9
    4     870      23
    4     871      23
    4     882      22
    4     886      10
    4     903      23
    4     915      12
    4     934       7
    4     939      10
    4     948      14
    4     949      24
    4     962      25
    4     963      13
    4     967      11
    4     968      16
    4     974      20
    5       3       3
    5      14      18
    5      47      18
    5      49      16
    5      52       8
    5      53      21
    5      54      22
    5      83       7
    5      94      19
    5      97       1
    5     100      22
    5     116      13
    5     119      20
    5     135       5
    5     141      23
    5     143       3
    5     144      12
    5     156       4
    5     168       3
    5     169       7
    5     171       6
    5     202      13
    5     209      16
    5     226       4
    5     228      24
    5     237      10
    5     274       6
    5     277       5
    5     278       5
    5     294      12
    5     299      13
    5     332       6
    5     344      14
    5     354       8
    5     360       7
    5     376      22
    5     381      15
    5     386      15
    5     402      23
    5     416      16
    5     422      10
    5     424      23
    5     448      25
    5     468      23
    5     493      19
    5     495      15
    5     504      11
    5     505       8
    5     516      11
    5     533      23
    5     536      10
    5     544       1
    5     553      25
    5     560       7
    5     581       5
    5     602      18
    5     625      16
    5     629      17
    5     632      14
    5     642      18
    5     645      19
    5     670      22
    5     686      23
    5     696       5
    5     700       5
    5     706       3
    5     709      15
    5     721      17
    5     733      16
    5     738      14
    5     745      12
    5     746      12
    5     758      21
    5     768       1
    5     776      16
    5     784       8
    5     787      21
    5     788       7
    5     810       7
    5     822       1
    5     836      18
    5     838      11
    5     841       6
    5     867       2
    5     868      13
    5     872      11
    5     888       1
    5     916      15
    5     919       1
    5     920      12
    5     928      25
    5     946      21
    5     950      23
    5     953      14
    5     964      16
    5     970       1
    5     976      23
    6       2      11
    6       4       8
    6      17       4
    6      25      17
    6      54      22
    6      65       6
    6      72      22
    6      79      17
    6      96      22
    6      99       1
    6     109       7
    6     112      18
    6     114      15
    6     123      18
    6     130       6
    6     138      22
    6     143       2
    6     153       3
    6     158      13
    6     167      17
    6     174       2
    6     185      20
    6     189      13
    6     193      17
    6     198      12
    6     210      20
    6     216      14
    6     238      21
    6     258      22
    6     262      11
    6     264      10
    6     266       3
    6     286       8
    6     289      14
    6     312      10
    6     332      21
    6     336      13
    6     377      23
    6     384      21
    6     393      16
    6     432       3
    6     435       4
    6     443       6
    6     446      19
    6     450      25
    6     457       1
    6     460      13
    6     484      15
    6     496      21
    6     497       1
    6     501      24
    6     507      14
    6     531       4
    6     541       6
    6     547       5
    6     553      17
    6     564       7
    6     574      20
    6     609      22
    6     614       8
    6     637      10
    6     643       3
    6     664      24
    6     673      18
    6     674      11
    6     676       1
    6     683      15
    6     698      24
    6     700       8
    6     718      20
    6     724       9
    6     725       5
    6     755      11
    6     773       7
    6     782       3
    6     783      24
    6     787       6
    6     805       4
    6     809      10
    6     822       9
    6     823       4
    6     829      15
    6     852      18
    6     866       1
    6     889       4
    6     912       5
    6     922      12
    6     954      22
    6     958      18
    6     960      13
    6     973      22
    6     976      17
    6     994       2
    7       8      25
    7      13      16
    7      34       3
    7      38       3
    7      39      16
    7      50      20
    7      56      19
    7      65       2
    7      68       8
    7      88       3
    7      99      23
    7     153      16
    7     157       1
    7     165      25
    7     171       4
    7     172       3
    7     179      17
    7     184      20
    7     199       9
    7     213       3
    7     222      21
    7     223      21
    7     239       6
    7     242      15
    7     247      17
    7     248      22
    7     266      10
    7     318      15
    7     376      11
    7     393      23
    7     406       4
    7     414      24
    7     420       5
    7     441       6
    7     468      24
    7     478      13
    7     483       3
    7     518       3
    7     542      10
    7     563      24
    7     588      16
    7     595       2
    7     607      23
    7     613      21
    7     634       2
    7     639       1
    7     640      17
    7     656      11
    7     661      23
    7     664       9
    7     673      20
    7     684       3
    7     689      15
    7     691      22
    7     696      23
    7     698      17
    7     699      13
    7     705       8
    7     722      18
    7     731       8
    7     740      15
    7     744      10
    7     767       5
    7     775       6
    7     782      23
    7     825      15
    7     830       8
    7     834      25
    7     835       8
    7     842       4
    7     845      11
    7     870       8
    7     875      16
    7     886      18
    7     889      22
    7     893      13
    7     899      23
    7     902       6
    7     907      12
    7     908       4
    7     921       9
    7     926       6
    7     930       2
    7     953       3
    7     957      21
    7     962      19
    7     966      18
    7     984      12
    7     991       2
    7     992      22
    7     998      20
    8       5       3
    8      30      11
    8      46      19
    8      48      18
    8      55      12
    8      57       6
    8      69       7
    8      73       7
    8      82       6
    8      93      11
    8     101      16
    8     120       5
    8     122      14
    8     148       2
    8     164      12
    8     174      25
    8     176      11
    8     182      17
    8     187       2
    8     195      19
    8     202       4
    8     207       4
    8     213       4
    8     215       6
    8     221      12
    8     228      21
    8     231      25
    8     257      12
    8     261      24
    8     325      13
    8     330       9
    8     344      20
    8     346      21
    8     347      25
    8     352       2
    8     373      22
    8     375      12
    8     384       8
    8     409      20
    8     411      20
    8     420      24
    8     422      15
    8     431      21
    8     441      20
    8     446      19
    8     447      12
    8     459      21
    8     484      22
    8     489      12
    8     493      23
    8     497       9
    8     498       1
    8     521       1
    8     522      14
    8     526       9
    8     537       6
    8     549       8
    8     555      25
    8     563       8
    8     609      17
    8     615       2
    8     631      23
    8     632      23
    8     634       4
    8     635      11
    8     637       1
    8     641      11
    8     647      19
    8     650       8
    8     658       2
    8     667       1
    8     686       6
    8     696       7
    8     697      16
    8     707       8
    8     710      18
    8     726       4
    8     734       6
    8     738       4
    8     744      14
    8     750       8
    8     751       7
    8     772      20
    8     778      22
    8     780      13
    8     785      19
    8     821      22
    8     829      17
    8     837      17
    8     843       2
    8     854      21
    8     858      11
    8     861      15
    8     870      20
    8     878       5
    8     897      23
    8     905       9
    8     927      18
    8     936      17
    8     947       8
    8     949      19
    8     974      22
    8     981      13
    8     988       2
    8     989       7
    9      25       7
    9      40      11
    9      45      22
    9      62       5
    9      69      10
    9      70       4
    9      72      11
    9      81      24
    9      85      22
    9     101       7
    9     103      18
    9     105      12
    9     107       3
    9     108      13
    9     122       2
    9     124       8
    9     126      11
    9     137       4
    9     139       7
    9     141      25
    9     144       3
    9     171       6
    9     174      13
    9     182      14
    9     192       6
    9     198      15
    9     200      24
    9     203       8
    9     214       6
    9     223       4
    9     245      12
    9     247       9
    9     254       3
    9     266       9
    9     268       7
    9     271      10
    9     274      21
    9     275       8
    9     286      25
    9     293       3
    9     294      15
    9     296      17
    9     299      10
    9     317       4
    9     333      18
    9     345      17
    9     348      13
    9     361      19
    9     368      13
    9     370      20
    9     384      21
    9     385       6
    9     388       3
    9     391      13
    9     393      12
    9     406      22
    9     409       1
    9     417       3
    9     428      15
    9     435      12
    9     449      14
    9     468      15
    9     489      16
    9     497      13
    9     498      16
    9     499       9
    9     517      23
    9     531       9
    9     544       2
    9     551       4
    9     552      21
    9     554      22
    9     556       7
    9     565      18
    9     598      24
    9     612       8
    9     657      11
    9     666      15
    9     677       4
    9     684      11
    9     689       9
    9     691       3
    9     696      12
    9     722       6
    9     740       2
    9     744      21
    9     752      20
    9     762      11
    9     774      13
    9     799      25
    9     814       1
    9     827      17
    9     833       6
    9     853      22
    9     857       8
    9     862      16
    9     879      18
    9     880      17
    9     885      18
    9     894      25
    9     918       6
    9     928      21
    9     944       7
    9     963      19
    9     968      12
    9     971      12
    9     978      21
    9     979      21
    9     981      10
    9     986       3
    9     989      19
   10      13       3
   10      23       5
   10      33       8
   10      39      25
   10      46       6
   10      51       2
   10      65       6
   10      83      23
   10      90       6
   10      99       5
   10     107      23
   10     114      11
   10     121      13
   10     148      13
   10     153      19
   10     165       1
   10     176      12
   10     201      22
   10     211       7
   10     220       5
   10     230      18
   10     237      22
   10     242      13
   10     244      10
   10     270       5
   10     276      11
   10     279      23
   10     335       7
   10     364      10
   10     381      20
   10     394       2
   10     431      18
   10     455       9
   10     456      20
   10     457      12
   10     462      17
   10     464      15
   10     470      13
   10     474       9
   10     475       7
   10     477      20
   10     479      18
   10     488      20
   10     492       9
   10     506      15
   10     525      17
   10     526       8
   10     532      24
   10     534      13
   10     537      14
   10     546      18
   10     548       5
   10     549       6
   10     594      16
   10     604       2
   10     606      14
   10     657      16
   10     677      15
   10     680      10
   10     693      25
   10     697      17
   10     701      23
   10     723       3
   10     728      10
   10     754      25
   10     763      15
   10     767      12
   10     772       6
   10     790      16
   10     798      15
   10     803       2
   10     804      22
   10     807       3
   10     809      20
   10     819      16
   10     838       1
   10     844      15
   10     855      14
   10     867       1
   10     873       4
   10     876      16
   10     890      24
   10     919      14
   10     924      13
   10     930       3
   10     931      20
   10     975       3
   10     979       2
   10     981      17
   10    1000      21
   11       9       1
   11      26      16
   11      35      17
   11      39      13
   11      40      15
   11      59      13
   11      81      17
   11      83      25
   11      85       7
   11      96      11
   11     101      22
   11     103      18
   11     108      17
   11     109      16
   11     111       4
   11     113       2
   11     114       7
   11     132       5
   11     140       2
   11     147      18
   11     151      19
   11     181      20
   11     187       4
   11     213      22
   11     227      21
   11     228      10
   11     230      21
   11     241       7
   11     243      20
   11     245      10
   11     248       2
   11     250      19
   11     252       1
   11     265      16
   11     271      13
   11     293       7
   11     328      10
   11     329      14
   11     330      23
   11     334       3
   11     336       4
   11     342       7
   11     350       7
   11     351       7
   11     352       2
   11     369       9
   11     383      20
   11     390       7
   11     394      15
   11     399      11
   11     405       9
   11     411      16
   11     421      21
   11     423      23
   11     428      15
   11     436      23
   11     442      17
   11     446       4
   11     462       7
   11     463      21
   11     484      18
   11     486       7
   11     488      18
   11     496      18
   11     498      13
   11     533       4
   11     538      13
   11     542      24
   11     546      14
   11     550      20
   11     555      18
   11     559      11
   11     621      17
   11     628      12
   11     629      17
   11     660       6
   11     663       5
   11     665      17
   11     685       8
   11     690      25
   11     739       2
   11     749       6
   11     759      20
   11     761       5
   11     779       1
   11     787      25
   11     789       8
   11     797       8
   11     799      25
   11     802      24
   11     803       8
   11     808       7
   11     810      13
   11     849      24
   11     853      19
   11     861      18
